EventFrame,StartTime,EndTime,AnodeNumber,Shift,FineCoke,MediumCoke,CoarseCoke,FineButt,CoarseButt,BallMillFraction,GreenScrap,SetPitch,RunningPitch,DryMix,FreshPaste,TotalPaste,DryMixTemperature,Speed,Current,MixerTemperature,PitchTemperature,IntPower,KneaderTorque,KneaderSpeed,FlapPOS,WaterFlowRate,CoolerPower,PasteLoad,Gateposition,PasteTemperature,Weight,Height,Density,DryDensity,Vaccum,AirPressure,BallMillFeedRate,TransferHopperResidualWeight,VC3Current,VC4Current,ClassifierRejectFlow,ClassifierSpeed,TotalVibratingTime,TimeforSpeedSlow,TimeforSpeedFast,SpeedSlow,SpeedFast,H,D,M,Code,PSCExclude,ManualGood,ShiftDate,Status,VC Current
VC_Report_GAP2_2025-01-15 14:13:56,2025-01-15 14:13:56.170,2025-01-15 14:13:58.140,44111.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.484128,28.47799873,33.30759811,34.99193192,161.3283234,3.613289356,46.2027359,173.0,197.5964203,313.0513,20.32152557,47.0,48.0,265.3000183,109.4054108,2095.600098,27.97618866,-31.50000763,1033.857178,602.1135254,1.640910387,1.40297842,50.47314453,3.5,0.003484296,40.4240799,80.99882507,76.83744812,4.188829422,856.7504272,75.01699829,10.0,65.01699829,1034.754761,1442.847778,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.83744812
VC_Report_GAP2_2025-01-15 14:26:40,2025-01-15 14:26:40.143,2025-01-15 14:26:42.110,34247.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50276661,28.47799873,33.30759811,34.9849472,161.9201508,3.669939041,47.33341599,173.0,197.7100372,304.5904541,21.08724976,47.0,50.0,351.6000061,111.281189,2081.200195,31.45237732,-31.50000763,1047.94519,604.0210571,1.657498598,1.417161345,37.43945313,3.5,5.259480476,38.06009293,74.91379547,76.91596222,5.617730141,856.8087158,53.12400055,10.0,43.12400055,1042.986816,1431.599365,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,74.91379547
VC_Report_GAP2_2025-01-15 14:28:22,2025-01-15 14:28:22.090,2025-01-15 14:28:24.170,44115.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.49936008,28.47799873,33.30759811,35.01892853,162.4147949,3.599764824,46.51717377,173.0,197.6650085,291.8992004,17.64736557,47.0,49.0,303.8000183,110.6754303,2130.0,34.85713959,-31.50000763,1041.390747,600.6334839,1.657345653,1.417030573,62.64318848,3.5,5.258597374,38.75676346,74.91379547,76.30255127,5.537645817,857.4208984,75.0,10.0,65.0,1036.251709,1441.678345,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.30255127
VC_Report_GAP2_2025-01-15 14:29:52,2025-01-15 14:29:52.117,2025-01-15 14:29:54.087,34248.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51562595,28.47799873,33.30759811,34.99923325,162.4324646,3.578840256,45.06880188,173.0,197.7361908,296.1296082,20.78684998,47.0,52.0,288.8000183,110.758812,2122.0,34.7857132,-31.50000763,1043.424438,601.4261475,1.658176184,1.417740583,37.67492676,3.5,5.241225719,38.68534088,81.29325867,76.30255127,6.35404253,856.8670654,50.97499847,10.0,40.97499847,1043.02002,1432.615723,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,81.29325867
VC_Report_GAP2_2025-01-15 14:31:44,2025-01-15 14:31:44.143,2025-01-15 14:31:46.113,44116.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.48592949,28.47799873,33.30759811,35.01600647,162.5914612,3.636000156,43.08603668,173.0,197.696228,291.8992004,9.948856354,47.0,47.0,310.3000183,109.4147034,2137.200195,38.30952454,-31.50000763,1042.792236,601.9447021,1.655602098,1.415539742,50.2376709,3.5,5.222676277,38.21464157,81.29325867,75.72349548,6.149925232,856.7213135,75.02100372,10.0,65.02100372,1036.955688,1443.25708,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,75.72349548
VC_Report_GAP2_2025-01-15 14:33:16,2025-01-15 14:33:16.137,2025-01-15 14:33:18.107,34249.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.5267725,28.47799873,33.30759811,34.99248123,162.6532898,3.583944082,41.96187973,173.0,197.6761627,300.3600464,15.43264771,47.0,49.0,283.6000061,110.3984375,2145.600098,37.19047546,-31.50000763,1038.769165,601.8069458,1.649629712,1.410433412,38.06750488,3.5,5.241225719,39.06821823,79.04573059,75.72349548,6.991539955,857.4208984,38.61500168,10.0,28.61500168,1042.712646,1432.063965,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,79.04573059
VC_Report_GAP2_2025-01-15 14:35:04,2025-01-15 14:35:04.133,2025-01-15 14:35:06.103,44117.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.51981068,28.47799873,33.30759811,35.01914978,162.4412994,3.662793875,41.66861725,173.0,197.6437225,279.2079163,9.236141205,47.0,49.0,260.6000061,109.4877853,2071.200195,32.7142868,-31.50000763,1035.800903,598.4151611,1.655170441,1.41517067,50.86572266,3.5,0.003484296,40.5388298,79.04573059,75.39961243,7.584159851,857.7999268,64.65200043,10.0,54.65200043,1037.172974,1442.613892,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,75.39961243
VC_Report_GAP2_2025-01-15 14:36:50,2025-01-15 14:36:50.143,2025-01-15 14:36:52.113,34250.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50462246,28.47799873,33.30759811,35.05035019,162.4501343,3.649524689,40.19417953,173.0,197.6957703,274.9775085,21.95311356,47.0,42.0,316.8999939,108.9845047,2124.0,35.7142868,-31.50000763,1045.707764,600.758728,1.663834453,1.422578454,37.20385742,3.5,0.003484296,40.5388298,81.27854156,75.39961243,6.394318581,856.3132324,42.78099823,10.0,32.78099823,1043.428833,1432.005981,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,81.27854156
VC_Report_GAP2_2025-01-15 14:39:00,2025-01-15 14:39:00.097,2025-01-15 14:39:02.063,44118.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.50820923,28.47799873,33.30759811,35.04506302,163.9164276,3.666366339,40.10945892,174.0,197.6239777,325.7425842,13.25032043,47.0,38.0,407.8999939,111.2693787,2130.399902,30.26190186,-31.50000763,1034.867798,597.1589355,1.657506466,1.417168021,48.82434082,3.5,0.003778901,39.74967194,81.27854156,76.62643433,4.658076763,856.9545288,47.46699905,10.0,37.46699905,1036.807129,1442.613892,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,76.62643433
VC_Report_GAP2_2025-01-15 14:40:52,2025-01-15 14:40:52.107,2025-01-15 14:40:54.077,34251.0,B,30.0,8.0,11.0,9.0,14.0,28.0,5.0,14.5,14.49653149,28.47799873,33.30759811,35.0354538,165.4092255,3.576033354,40.31962967,176.0,197.6656952,291.8992004,15.55339432,47.0,42.0,460.3000183,110.6021042,2118.0,30.07142639,-31.50000763,1039.821655,597.3983154,1.664706826,1.423324347,38.30310059,3.5,0.003484296,39.74967194,78.46176147,76.62643433,4.747373104,857.1877441,35.01399994,10.0,25.01399994,1042.96521,1432.557739,2.0,2.0,2.0,2.0,1.0,0,1/15/2025,False,78.46176147
